Country,Year,15-49_years ,50-69_years,70+_years
Turkey,2000,8043.33593430678,34070.4070460856,22896.9926763029
Turkey,2001,7583.87440231441,32906.423702599,23518.4750219804
Turkey,2002,6910.69044264286,32247.9324655972,24174.7665610705
Turkey,2003,6787.9658497493,31470.5676604877,25433.8560648929
Turkey,2004,6640.83898113796,31172.5996383696,26082.5184204862
Turkey,2005,6498.97375439925,31782.9768478703,27972.7347328803
Turkey,2006,6324.75691414607,32240.3751166246,29427.7555579418
Turkey,2007,6256.97240275728,32387.5374434195,30004.2260962189
Turkey,2008,6246.32042888033,32773.0497649585,30567.889323889
Turkey,2009,6442.28435517513,34737.9912948651,32608.9200860812
Turkey,2010,6358.08209908702,35489.1998137342,33851.8288715307
Turkey,2011,6195.313450176,35630.1321445714,34734.2703845296
Turkey,2012,5957.01437516859,35658.0091049914,35580.7328718576
Turkey,2013,5843.20056091958,36052.5403097494,36289.3913413227
Turkey,2014,5737.25000557056,36437.4723411368,36951.1058827883
Turkey,2015,5411.27588417842,36436.8371405279,36767.0817532934
Turkey,2016,5212.49421684414,36168.8140932524,36162.7286449706
Turkey,2017,5182.69476210087,36171.7471263476,35735.9802732245
